model,replicate,auc,flip_rate,probability_mae,vector_cosine_distance,vector_euclidean_distance
logit,21,0.5727473431708563,0.13636363636363635,0.07847311080363546,0.17547097415802015,0.9146013382713504
xgb,21,0.6264826998453473,0.19386637458926614,0.09718839079141617,0.10060030221939087,0.040824443101882935
logit,22,0.5861542436409366,0.1796276013143483,0.11697394213655739,0.29111253220950883,1.2778509462880714
xgb,22,0.6021227694451485,0.20810514786418402,0.09858600050210953,0.06490933895111084,0.03248569369316101
logit,23,0.584322412140047,0.1741511500547645,0.11642134688268571,0.24195807017623372,1.240899959139916
xgb,23,0.6024227685880081,0.22562979189485213,0.11009296774864197,0.17287009954452515,0.05732711777091026
logit,24,0.593646875294642,0.13745892661555312,0.09544958707021507,0.14417314885477672,1.0093778191509566
xgb,24,0.5923917768398212,0.18729463307776562,0.09018377214670181,0.08240222930908203,0.03693708777427673
logit,25,0.626062701045344,0.21358159912376778,0.14047531661573895,0.365203241500771,1.829627002405636
xgb,25,0.642272450650141,0.21960569550930997,0.11271671950817108,0.09224414825439453,0.03953507915139198
logit,26,0.5778926345924726,0.1955093099671413,0.11768933331736331,0.2662770399705463,1.2023722841883082
xgb,26,0.6044223547116396,0.22234392113910187,0.11009000986814499,0.090212881565094,0.03871855512261391
logit,27,0.5573016730156282,0.1588170865279299,0.09859085478082698,0.18757699657232962,1.17939375368418
xgb,27,0.5976117619255782,0.2212486308871851,0.09978246688842773,0.07131195068359375,0.03432824835181236
logit,28,0.5575979986995956,0.15991237677984665,0.11139504558268107,0.17609837750983603,1.357385316711396
xgb,28,0.6248798472820689,0.2316538882803943,0.1223801001906395,0.09469872713088989,0.04013688117265701
logit,29,0.5755171311755436,0.2316538882803943,0.15832212619897174,0.2488796041269774,1.2238637856722663
xgb,29,0.5972358446322806,0.2661555312157722,0.12803445756435394,0.12139058113098145,0.04531943053007126
logit,30,0.5697963311941557,0.09967141292442497,0.05812846003701145,0.059685818405731283,0.5245962793941173
xgb,30,0.6020701165343609,0.17086527929901424,0.07812506705522537,0.07315462827682495,0.03444217890501022
logit,31,0.591448922390834,0.1254107338444688,0.0789648853958414,0.10010505988365126,0.7159314436583522
xgb,31,0.6131480440668129,0.19058050383351588,0.09546225517988205,0.061777591705322266,0.03199483081698418
logit,32,0.6070733675454805,0.18784227820372398,0.12140444654183029,0.4707870222641458,2.094097593395148
xgb,32,0.6025427682451518,0.21084337349397592,0.11179380863904953,0.06874537467956543,0.03369725123047829
logit,33,0.5797783434904472,0.171960569550931,0.10900355026340154,0.17504603099270866,1.1063034942551724
xgb,33,0.5961546232316888,0.21358159912376778,0.1057688519358635,0.07724082469940186,0.03640834614634514
logit,34,0.598178699081268,0.1823658269441402,0.12347457546678084,0.23747610239193573,1.1639744767387572
xgb,34,0.618945986684936,0.22289156626506024,0.11131967604160309,0.10632592439651489,0.0421539731323719
