feature,reference_beta,p025,p975,sign_agreement
theater_B,-0.032232616991433136,-0.17959674841961953,0.11717608140495112,0.675
movies_B,-0.14619236887416504,-0.29356532731099483,0.03419421546320593,0.945
concerts_B,0.08761482820205124,0.00789848912736693,0.15426888981014966,0.98
music_B,0.017249033048126056,-0.08798339193771317,0.15357499403755157,0.675
shopping_B,-0.04495314806445824,-0.17883597302761667,0.0404517309479606,0.88
yoga_B,-0.03754531905136756,-0.14689665163676374,0.11286303007856856,0.745
attr1_1_B,0.21946101016976657,-0.12295444397839923,1.042641496530613,0.86
sinc1_1_B,0.03931998904499824,-0.2811776692893713,0.4190429089960561,0.595
intel1_1_B,0.22866115475176138,0.00466763090302768,0.6664126735587166,0.975
fun1_1_B,0.16432478532703912,-0.06689910595149082,0.4873512660808657,0.895
amb1_1_B,0.17053822098479243,-0.037518194333436485,0.49757302023813205,0.955
shar1_1_B,-0.03340677331367268,-0.26915754517859314,0.32244751599215876,0.69
attr3_1_B,0.020556568466376983,-0.20882046957373177,0.20148891288384754,0.54
sinc3_1_B,0.07425854970639686,-0.026336855786417254,0.21728718137858766,0.945
intel3_1_B,-0.23940729380695341,-0.39129471740038196,-0.12622957293536877,1.0
fun3_1_B,0.09095645229549666,-0.06434264541336847,0.25623542199609717,0.91
amb3_1_B,-0.17585981975965836,-0.3507944552223367,-0.04006786561401543,0.99
int_corr,0.019519584965721728,-0.06090223394983989,0.07635469447600308,0.745
age_diff,0.12538994297981776,-0.4967228013143339,0.6148324834015633,0.755
abs_age_diff,-0.07960892801369703,-0.1992141894684512,-0.02349253822979785,0.995
fit_score,0.15726465142705112,-0.11019281905509135,0.5362004593094871,0.84
field_cd_A_1,-0.03193724976513044,-0.28564496586956684,0.19643228696631226,0.645
field_cd_A_10,0.07208988661376277,-0.003320844895540517,0.17926107025557927,0.97
field_cd_A_11,-0.049590049579129075,-0.2957221191044499,0.1617043147668957,0.665
field_cd_A_12,0.0,0.0,0.0,1.0
field_cd_A_13,-0.05335281786980576,-0.18708265035918206,0.06780212116855737,0.86
field_cd_A_14,0.08627546662668957,-0.005812433549582953,0.2429768857065168,0.94
field_cd_A_15,-0.09409876023164075,-0.19305692588859183,0.08670745061931054,0.865
field_cd_A_16,0.026199975393061972,-0.04410062382575985,0.10090797192675866,0.79
field_cd_A_17,-0.0017999091807559642,-0.014825638919284869,0.01748024698994022,0.26
field_cd_A_18,0.012532271432354795,-0.5696960413721979,0.4043438758975218,0.475
field_cd_A_2,-0.04050172444269623,-0.13058342746548404,0.08993686456394039,0.76
field_cd_A_3,0.09431615947301158,0.025956417604710336,0.2031670161965323,0.995
field_cd_A_4,0.14526868823911504,0.028486630783895617,0.3051171668802938,0.985
field_cd_A_5,0.014784387522061274,-0.14350952817377755,0.27219505764389323,0.585
field_cd_A_6,-0.05039712454337881,-0.19880923876919646,0.07112726141313239,0.725
field_cd_A_7,-0.05247330001877286,-0.16105202099713956,0.04549297586963569,0.85
field_cd_A_8,-0.13075240947369088,-0.30902814159634207,0.03802928110407882,0.935
field_cd_A_9,0.13245995291411633,-0.08802582338290663,0.3005891414718002,0.89
field_cd_A_NA,-0.00410995552961682,-0.050668155580524885,0.046121748760844974,0.635
field_cd_B_1,-0.006633523262599601,-0.18982834915441385,0.18105521651049647,0.55
field_cd_B_10,-0.01066648355443797,-0.15021869675120034,0.12285177797710929,0.505
field_cd_B_11,-0.109968425923172,-0.24275153326538113,0.037210238184755225,0.935
field_cd_B_12,0.0,0.0,0.0,1.0
field_cd_B_13,0.045349938399020316,-0.11871876494150485,0.12840881162311418,0.79
field_cd_B_14,0.04063465738575717,-0.14198676200488872,0.13028289411253358,0.655
field_cd_B_15,-0.005965199778765886,-0.09784729771272625,0.13291777468839605,0.505
field_cd_B_16,0.09730434058473254,0.0023621829578951616,0.17674401458461733,0.975
field_cd_B_17,-0.014372838391271073,-0.02854966691387077,0.0,0.615
field_cd_B_18,0.024929144818174934,-0.1803304370979113,0.16287394809762432,0.65
field_cd_B_2,-0.1139873447992205,-0.2855169421546964,-0.038821234493201476,1.0
field_cd_B_3,0.014006098043379258,-0.15095049549772988,0.11219980093464389,0.595
field_cd_B_4,0.19177280367768376,0.08489388638779528,0.33584120562805725,1.0
field_cd_B_5,-0.1500905630348189,-0.3568541148784338,-0.007830760909623159,0.98
field_cd_B_6,0.037633705911282636,-0.06474267495836872,0.24153923228860516,0.755
field_cd_B_7,0.006982839183237984,-0.0878910006179268,0.07936705165522802,0.645
field_cd_B_8,0.1042485951407219,-0.043407564754360785,0.2359779368417501,0.875
field_cd_B_9,-0.07399827007969151,-0.23516208666101676,0.0660535649687225,0.82
field_cd_B_NA,0.08736183988126792,-0.02358279789564942,0.1482997590087585,0.855
career_c_A_1,0.06286120002048719,-0.12288544223498585,0.35466218716154485,0.845
career_c_A_10,-0.03131369840826782,-0.18475920855335073,0.10230206083225618,0.675
career_c_A_11,0.005961879392334053,-0.1796040577612521,0.3553019910575492,0.515
career_c_A_12,-0.09475492901191285,-0.1270288455293276,0.0,0.665
career_c_A_13,-0.10292934576675188,-0.7370945229457484,4.4829076134947367e-05,0.93
career_c_A_14,0.019434673057935434,-0.0066370070957713495,0.08506976848754219,0.53
career_c_A_15,-0.014147508713876279,-0.37481418289938956,1.116717570999208,0.43
career_c_A_16,-0.0073169912869984755,-0.06948346555462384,0.04693628404019753,0.455
career_c_A_17,-0.0017999091807559642,-0.014825638919284869,0.01748024698994022,0.26
career_c_A_2,-0.011961294050154824,-0.14667029352165548,0.14325921064252914,0.615
career_c_A_3,-0.0355438368750226,-0.21682564978261973,0.1857527742248058,0.68
career_c_A_4,-0.14215708951224218,-0.26210092511817473,-0.04996185592798436,1.0
career_c_A_5,0.08364916327652286,-0.05016511270990456,0.22837142027531254,0.89
career_c_A_6,0.023029457446953356,-0.19155527167890496,0.13551674729283733,0.535
